Project ID,Vintage,Offset Credit Serial Numbers,Quantity of Offset Credits,Status Effective,Project Name,Project Type,Protocol Version,Project Site Location,Project Site State,Project Site Country,Additional Certification/SDGs,ARB Eligible,Account Holder,Retirement Reason,Retirement Reason Details,Date Issued,Retirement Year,ACR Retirement Data,Updated 12-31-23,Total Credits Retired:,"31,956,128"
ACR102,2003,ACR-US-102-2003-274-120150873 to 120155872,5000,11/17/2011,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2011,,,,
ACR102,2003,ACR-US-102-2003-274-120155873 to 120155874,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155920 to 120155924,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155875 to 120155894,20,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155895 to 120155899,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155900 to 120155919,20,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155925 to 120155939,15,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155940 to 120155941,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155942 to 120155961,20,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155962 to 120155965,4,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
