GHGRP ID,Landfill ID,Landfill Name,State,City,County,Ownership Type,Landfill Owner Organization(s),Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,LFG Use Details,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),End User(s),Project Developer(s),Project Owner(s),Product Supplier(s),Self-Developed,Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1007341,1994,Anchorage Regional Landfill,AK,Eagle River,Anchorage,Public,"Municipality of Anchorage, AK","11,008,984",2022,Yes,4.066,1.915,167079-0,Operational,Project #1,7/31/2012,Electricity,Reciprocating Engine,,LFG piped 1.2 miles to fuel (4) GE JenbacherJGS 420 engines (1.4 MW each) at JBER,3.82,5.6,1.725,Joint Base Elmendorf Richardson (JBER),"Doyon Utilities, LLC","Doyon Utilities, LLC",GE Energy - Jenbacher Gas Engines; Western Energy Systems,No,0.1933,0.0186
1007341,1994,Anchorage Regional Landfill,AK,Eagle River,Anchorage,Public,"Municipality of Anchorage, AK","11,008,984",2022,Yes,4.066,1.915,167079-1,Operational,"Project #1, Expansion #1",1/1/2014,Electricity,Reciprocating Engine,,(1) engine,0.96,1.4,0.431,Joint Base Elmendorf Richardson (JBER),,,GE Energy - Jenbacher Gas Engines; Western Energy Systems,Unknown,0.0486,0.0047
1001633,23,Cedar Hill Landfill,AL,Ragland,St. Clair,Private,WM,"5,398,977",2021,Yes,0.974,0.4,78-0,Operational,Project #1,1/1/2020,Direct,Leachate Evaporation,,,,,0.574,WM,Advanced Disposal Services; WM,WM,Fluid Components International (FCI),Yes,0.0563,0.0050
1010661,2,City of Decatur-Morgan County Regional MSW Landfill,AL,Trinity,Morgan,Public,"City of Decatur, AL; Morgan County, AL","6,779,927",2022,Yes,0.9,0.077,181062-0,Operational,Project #2,8/2/2010,Electricity,Reciprocating Engine,,(1) Caterpillar 3516 electrical generator; GraniteFuel SRT added for siloxane removal,0.68,0.9,0.37,Tennessee Valley Authority (TVA),Granger Energy,EDL Energy,"Caterpillar, Inc.",No,0.0344,0.0033
1010661,2,City of Decatur-Morgan County Regional MSW Landfill,AL,Trinity,Morgan,Public,"City of Decatur, AL; Morgan County, AL","6,779,927",2022,Yes,0.9,0.077,181062-1,Operational,"Project #2, Expansion #1",7/31/2011,Electricity,Cogeneration,,"(1) Caterpillar 3516 electrical generator with heat recovery to help heat new recycling center (10,800 sq ft) during winter; GraniteFuel SRT added for siloxane removal",0.69,0.9,0.37,Tennessee Valley Authority (TVA),"City of Decatur, AL","City of Decatur, AL","Caterpillar, Inc.; GraniteFuel",Yes,0.0349,0.0034
1006304,2410,Sand Valley Landfill,AL,Collinsville,DeKalb,Private,"Republic Services, Inc.","10,665,246",2022,Yes,3.149,0.88,180771-0,Operational,Project #1,11/26/2013,Electricity,Reciprocating Engine,,(3) CAT G3520C engines,3.72,4.8,2.27,Tennessee Valley Authority (TVA),EDL Energy,EDL Energy,"Caterpillar, Inc.",No,0.1882,0.0181
1007796,2204,Three Corners Landfill,AL,Piedmont,Cherokee,Private,WM,"5,814,411",2022,Yes,1.084,0.475,180288-0,Operational,Project #1,1/1/2020,Direct,Leachate Evaporation,,,,,0.61,WM,WM,WM,,Yes,0.0598,0.0053
1006026,2052,City of Fort Smith Landfill,AR,Fort Smith,Sebastian,Public,"City of Fort Smith Department of Sanitation, AR","10,789,360",2022,Yes,2.183,0,180840-0,Operational,Project #2,5/1/2006,Renewable Natural Gas,Vehicle Fuel,Pipeline Injection,"Physical solvent process with patented enhancements to remove CO2, H2O, H2S, siloxanes, and other impurities from LFG, RNG is transported and sold into adjoining natural gas pipeline to be used for vehicle fuel",,,2.184,"Anew Climate, LLC; Summit Utilities, Inc.","Cambrian Energy; Morrow Renewables, LLC","Cambrian Energy; Morrow Renewables, LLC",,No,0.2141,0.0172
1003406,2282,Eco-Vista Landfill,AR,Springdale,Washington,Private,WM,"11,496,914",2022,Yes,3.881,2.498,201449-0,Operational,Project #2,5/24/2023,Renewable Natural Gas,Vehicle Fuel,Pipeline Injection,"PSA system; designed to distribute 750,000 MMBtu/yr of RNG",,,,"Enable Midstream Partners, LP; WM",,,"Adsorption Research, Inc.",Unknown,0.0000,0.0000
1007896,2043,Two Pine Landfill,AR,North Little Rock,Pulaski,Private,WM,"14,766,106",2022,Yes,2.134,0.672,167128-0,Operational,Project #1,10/1/2006,Electricity,Reciprocating Engine,,"(6) 1,425 horsepower Caterpillar 3516 engines at 800 kW each",2.89,4.8,1.46,North Little Rock Electric Department,"WM Renewable Energy, LLC",,"Caterpillar, Inc.",Yes,0.1462,0.0140
1000031,1786,Northwest Regional MSW Landfill,AZ,Surprise,Maricopa,Private,WM,"25,268,077",2022,Yes,1.929,0.832,101839-0,Operational,Project #1,8/1/2012,Electricity,Reciprocating Engine,,"(2) 1,600-kW Caterpillar 3520s",2.24,3.2,1.1,Arizona Public Service (APS),"WM Renewable Energy, LLC","WM Renewable Energy, LLC","Caterpillar, Inc.",Yes,0.1134,0.0109
,36,Acme LF,CA,Martinez,Contra Costa,Private,Acme Fill Corporation,"10,800,000",2002,Yes,1.8,,180209-0,Operational,Project #2,1/1/1999,Electricity,Cogeneration,,IC engine,1.9,,,Central Contra Costa Sanitary District,Acme Fill Corporation,,,Yes,0.0961,0.0092
,36,Acme LF,CA,Martinez,Contra Costa,Private,Acme Fill Corporation,"10,800,000",2002,Yes,1.8,,180234-0,Operational,Project #3,8/1/2003,Electricity,Microturbine,,(4) 70-kW Ingersoll-Rand microturbines,0.28,0.28,0.216,,Bulldog Power,,,No,0.0142,0.0014
,36,Acme LF,CA,Martinez,Contra Costa,Private,Acme Fill Corporation,"10,800,000",2002,Yes,1.8,,91-0,Operational,Project #1,1/1/1982,Direct,Boiler,,,,,1.5,Central Contra Costa Sanitary District,Acme Fill Corporation,,,Yes,0.1471,0.0130
1004335,349,All Purpose Landfill,CA,Santa Clara,Santa Clara,Public,"City of Santa Clara, CA","5,158,633",1993,Yes,0.279,0.067,180957-0,Operational,Project #2,12/18/2009,Electricity,Microturbine,,(3) Ingersoll-Rand 250-kW microturbines,0.4,0.75,0.197,"Silicon Valley Power, City of Santa Clara, CA","Ameresco, Inc.","Ameresco, Inc.",,No,0.0202,0.0019
1007699,39,Altamont Landfill & Resource Recovery Facility,CA,Livermore,Alameda,Private,WM,"68,280,716",2022,Yes,6.061,,180977-0,Shutdown,Project #3,9/1/2009,Renewable Natural Gas,Vehicle Fuel,Local Use,"System's multi-step process includes compression, chilling, adsorption, and membranes to remove impurities, cleaned LFG is then cooled to -260 deg F to create 13,000 gal/day LNG for garbage trucks",,,3.47,WM,High Mountain Fuels,,"Guild Associates, Inc.",No,0.0000,0.0000
1007699,39,Altamont Landfill & Resource Recovery Facility,CA,Livermore,Alameda,Private,WM,"68,280,716",2022,Yes,6.061,,180977-1,Operational,"Project #3, De-Expansion #1",1/1/2019,Renewable Natural Gas,Vehicle Fuel,Local Use,,,,1,WM,High Mountain Fuels,,"Guild Associates, Inc.",No,0.0981,0.0079
1007699,39,Altamont Landfill & Resource Recovery Facility,CA,Livermore,Alameda,Private,WM,"68,280,716",2022,Yes,6.061,,95-0,Operational,Project #1,1/1/1989,Electricity,Gas Turbine,,(2) Solar Centaur units (nameplate 3.1 MW each) installed in 1988,4.64,6.2,3.46,California ISO (CAISO),Bio Energy Partners,"WM Renewable Energy, LLC",Solar Turbines Incorporated,No,0.2348,0.0225
1011449,72,BKK Landfill-Phases I & II,CA,West Covina,Los Angeles,Private,BKK Corporation,"49,245,368",1996,Yes,11.329,0.543,128-0,Operational,Project #2,1/1/1992,Electricity,Steam Turbine,,,6,6.8,,Anaheim Public Utilities,,Fortistar Methane Group,,No,0.3036,0.0291
1011449,72,BKK Landfill-Phases I & II,CA,West Covina,Los Angeles,Private,BKK Corporation,"49,245,368",1996,Yes,11.329,0.543,180224-0,Shutdown,Project #1,1/1/1985,Electricity,Gas Turbine,,,4.3,,,Southern California Edison (SCE) Company,,Fortistar Methane Group,,No,0.0000,0.0000
1011449,72,BKK Landfill-Phases I & II,CA,West Covina,Los Angeles,Private,BKK Corporation,"49,245,368",1996,Yes,11.329,0.543,180224-1,Operational,"Project #1, Replacement",1/1/1997,Electricity,Gas Turbine,,Solar Taurus 60,4.9,4.9,,Pasadena Water and Power,,Fortistar Methane Group,Solar Turbines Incorporated,No,0.2480,0.0238
1006221,83,Buena Vista Drive SLF,CA,Watsonville,Santa Cruz,Public,"Santa Cruz County, CA","4,474,820",2022,Yes,1.482,0.114,166996-0,Operational,Project #2,2/2/2006,Electricity,Reciprocating Engine,,"(3) 1,060 kW spark-ignited, turbocharged, after-cooled GE Jenbacher engines total, expected minimum availability of 90%",1.99,3.18,1.37,"Alameda Municipal Power; City of Palo Alto, CA","Ameresco, Inc.",,GE Energy - Jenbacher Gas Engines,No,0.1007,0.0097
1007600,84,Burbank LF Site No. 3,CA,Burbank,Los Angeles,Public,"City of Burbank, CA","2,000,000",,Yes,0.543,,180858-0,Operational,Project #3,4/1/2005,Electricity,Microturbine,,(10) 30 kW Capstone microturbines and (1) 250 kW Ingersoll-Rand microturbine,0.55,0.55,,Burbank Water & Power,Burbank Water & Power,,Capstone Turbine Corporation,No,0.0278,0.0027
1003599,87,Calabasas SLF,CA,Agoura Hills,Los Angeles,Public,"Sanitation Districts of Los Angeles County, CA","28,906,913",2022,Yes,4.966,0.307,180901-0,Operational,Project #2,7/12/2010,Electricity,Gas Turbine,,"Originally (3) Solar Mercury 50 turbines, (2) operating as of 2019",5.32,13.8,4.659,"Sanitation Districts of Los Angeles County, CA","Sanitation Districts of Los Angeles County, CA","Sanitation Districts of Los Angeles County, CA",Solar Turbines Incorporated,Yes,0.2692,0.0258
1002992,105,Chiquita Canyon SLF,CA,Castaic,Los Angeles,Private,"Waste Connections, Inc.","47,907,772",2022,Yes,11.921,8.055,161-0,Operational,Project #1,11/23/2010,Electricity,Gas Turbine,,(2) Solar Mercury 50 turbines,5.96,9.2,3.866,Southern California Public Power Authority (SCPPA),"Ameresco, Inc.",,Solar Turbines Incorporated,No,0.3016,0.0290
1000339,271,City of Santa Cruz SLF,CA,Santa Cruz,Santa Cruz,Public,"City of Santa Cruz, CA","3,024,722",2009,Yes,0.801,,181024-0,Operational,Project #2,11/23/2009,Electricity,Reciprocating Engine,,(1) Caterpillar 3520 engine,1.6,1.6,,Sacramento Municipal Utility District (SMUD),Fortistar Methane Group,,"Caterpillar, Inc.",No,0.0810,0.0078
1013696,11160,Clover Flat Landfill,CA,Calistoga,Napa,Private,Clover Flat Resource Recovery Park,"1,833,520",2022,Yes,0.387,0.087,180958-0,Operational,Project #1,12/31/2014,Electricity,Reciprocating Engine,,(1) Jenbacher engine,0.75,,0.293,Pacific Gas and Electric Company (PG&E),WSP USA,Vista Corporation,GE Energy - Jenbacher Gas Engines,No,0.0380,0.0036
1006322,122,Cold Canyon LF Solid Waste Disposal Site,CA,San Luis Obispo,San Luis Obispo,Private,Corral de Piedra Land Company,"7,077,576",2022,Yes,1.439,0.001,178-0,Operational,Project #1,1/1/1999,Direct,Boiler,,"LFG piped 2 miles to oilfield to fuel steam generators, the steam is used to increase the productivity of the oil wells, LFG providing 20% of fuel needs",,,0.688,Sentinel Peak Resources,,,,No,0.0675,0.0060
1006322,122,Cold Canyon LF Solid Waste Disposal Site,CA,San Luis Obispo,San Luis Obispo,Private,Corral de Piedra Land Company,"7,077,576",2022,Yes,1.439,0.001,200730-0,Operational,Project #2,7/31/2013,Electricity,Reciprocating Engine,,(1) 1.6-MW G3520 CAT engine,1.31,1.6,0.75,Pacific Gas and Electric Company (PG&E),"Toro Energy, Inc.","Toro Energy, Inc.","Caterpillar, Inc.",No,0.0663,0.0064
1000369,342,Corona Disposal Site,CA,Corona,Riverside,Public,"Riverside County, CA","4,000,000",,Yes,0.281,0,402-0,Operational,Project #1,3/4/1986,Electricity,Reciprocating Engine,,,0.6,,,Southern California Edison (SCE) Company,"City of Corona, CA",,,Yes,0.0304,0.0029
