plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,con_tif,rgb_tif,rgb_png
emi20240407t152819p10020-A,42.281191351462724,-78.01105591725147,2024-04-07T15:28:19+00,Solid Waste (6A),CH4,mfa,"[-78.04659713225806, 42.25684318407189, -77.9741424173271, 42.31044685613437]",emi,2024-04-22 16:14:00.445080+00:00,,,,,,,,ISS,NASA-JPL EMIT,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/07/emi20240407t152819p10020-A/emi20240407t152819p10020-A_l3a-vis-ch4-mfa-v002_plume.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=iBCQeRbPdhHYg9%2BsHAWQH8kA%2B80%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/07/emi20240407t152819p10020-A/emi20240407t152819p10020-A_l3a-vis-ch4-mfa-v002_plume.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=ISnHYZeVVZHo%2BL5JTGfiyDD4Wlg%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/07/emi20240407t152819p10020-A/emi20240407t152819p10020-A_l3a-vis-ch4-mfa-v002_plume-concentrations.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=qwhpRVQb1USh3s6lFKsyUuwn3CI%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/07/emi20240407t152819p10020-A/emi20240407t152819p10020-A_l3a-vis-ch4-mfa-v002_rgb.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=OgTl2HVB5pSYoPLDAz9KkxkkHH4%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/07/emi20240407t152819p10020-A/emi20240407t152819p10020-A_l3a-vis-ch4-mfa-v002_rgb.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=og5ZQuSM5pC86zKK9bQjKo7oMWc%3D&Expires=1714941687
emi20240407t152744p10017-A,40.815654757409334,-80.08412011619774,2024-04-07T15:27:44+00,Solid Waste (6A),CH4,mfa,"[-80.11951158226294, 40.790608798613334, -80.04957478905217, 40.84353698119412]",emi,2024-04-22 16:24:25.142309+00:00,1030.9541768438603,274.5280764295809,0.98193359375,0.261474609375,11.320690209648465,21.99793216639419,hrrr,ISS,NASA-JPL EMIT,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/07/emi20240407t152744p10017-A/emi20240407t152744p10017-A_l3a-vis-ch4-mfa-v002_plume.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=t0CuXprdujHd0qm8uf4O62tCMiE%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/07/emi20240407t152744p10017-A/emi20240407t152744p10017-A_l3a-vis-ch4-mfa-v002_plume.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=d9tyiu3ggqR2Ve40ipM3j1JA%2Fm8%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/07/emi20240407t152744p10017-A/emi20240407t152744p10017-A_l3a-vis-ch4-mfa-v002_plume-concentrations.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=sPZ5JfuTPMwSClr1NQQMkssOsdU%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/07/emi20240407t152744p10017-A/emi20240407t152744p10017-A_l3a-vis-ch4-mfa-v002_rgb.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=SRpUg6hpZ6i0xh5GRPfPXGdZo%2BQ%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/07/emi20240407t152744p10017-A/emi20240407t152744p10017-A_l3a-vis-ch4-mfa-v002_rgb.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=rhw%2B%2BYqoohg9O9FwGHNDyf74sLI%3D&Expires=1714941687
emi20240407t152732p10016-A,40.49558626791733,-81.52069972606199,2024-04-07T15:27:32+00,Solid Waste (6A),CH4,mfa,"[-81.56871789834723, 40.4737138743633, -81.50001227575716, 40.52642032011028]",emi,2024-04-22 16:30:10.728504+00:00,342.3273299030975,219.95762339547045,1.0859375,0.69775390625,120.56259236085984,27.756633878642873,hrrr,ISS,NASA-JPL EMIT,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/07/emi20240407t152732p10016-A/emi20240407t152732p10016-A_l3a-vis-ch4-mfa-v002_plume.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=6nzMMkyPF9aoZ4JTGr23SnL3TMs%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/07/emi20240407t152732p10016-A/emi20240407t152732p10016-A_l3a-vis-ch4-mfa-v002_plume.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=HYooCYUaHX3F6VXu7LWExffaniM%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/07/emi20240407t152732p10016-A/emi20240407t152732p10016-A_l3a-vis-ch4-mfa-v002_plume-concentrations.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=gwK%2Fj%2Fw6W%2Bxgo55iiCHwQhXxFpU%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/07/emi20240407t152732p10016-A/emi20240407t152732p10016-A_l3a-vis-ch4-mfa-v002_rgb.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=Rn3B2irdjR6K4Y48fQ71GOYdgqE%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/07/emi20240407t152732p10016-A/emi20240407t152732p10016-A_l3a-vis-ch4-mfa-v002_rgb.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=Q1cubd4giQY9t9vlG%2BWFbUXgGG0%3D&Expires=1714941687
emi20240406t161503p11025-A,40.89028809981872,-86.69461895965397,2024-04-06T16:15:03+00,Solid Waste (6A),CH4,mfa,"[-86.73790214729114, 40.863202665660886, -86.66845511628354, 40.915702809775404]",emi,2024-04-22 16:24:26.483228+00:00,1141.264311553711,406.9802416891686,1.9443359375,0.693359375,9.135004062034996,11.898523696826283,hrrr,ISS,NASA-JPL EMIT,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/06/emi20240406t161503p11025-A/emi20240406t161503p11025-A_l3a-vis-ch4-mfa-v002_plume.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=bxpmAVjoGLdNxTDKr2Iziq8vESE%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/06/emi20240406t161503p11025-A/emi20240406t161503p11025-A_l3a-vis-ch4-mfa-v002_plume.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=yArcUFQOcuXRaVb2sfTWwKScy5g%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/06/emi20240406t161503p11025-A/emi20240406t161503p11025-A_l3a-vis-ch4-mfa-v002_plume-concentrations.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=3LGT0uGvNR%2BXKGtp6rI3Mt6%2Bn9Y%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/06/emi20240406t161503p11025-A/emi20240406t161503p11025-A_l3a-vis-ch4-mfa-v002_rgb.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=K4Z9H0XC7WqkkVT2N%2F2sZDHMYus%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/06/emi20240406t161503p11025-A/emi20240406t161503p11025-A_l3a-vis-ch4-mfa-v002_rgb.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=UUjFFC0oHdJnCKRPN0uMb5BGs%2FM%3D&Expires=1714941687
emi20240406t143657p10005-A,27.33942504010875,-80.68191315410996,2024-04-06T14:36:57+00,Solid Waste (6A),CH4,mfa,"[-80.7098467435776, 27.305083229909478, -80.64509675579818, 27.3631125262039]",emi,2024-04-22 16:14:00.366180+00:00,4304.0825618550625,1160.4007425351301,3.013671875,0.8125,304.46753946171754,17.13574502702425,hrrr,ISS,NASA-JPL EMIT,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/06/emi20240406t143657p10005-A/emi20240406t143657p10005-A_l3a-vis-ch4-mfa-v002_plume.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=daMRE%2FhQVTBvqN6tT4M0LBgmE9s%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/06/emi20240406t143657p10005-A/emi20240406t143657p10005-A_l3a-vis-ch4-mfa-v002_plume.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=GHR45x%2BXWp9Fp1%2BLQ4fCi61DNss%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/06/emi20240406t143657p10005-A/emi20240406t143657p10005-A_l3a-vis-ch4-mfa-v002_plume-concentrations.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=cy0qYCohnKJDroYFs4AdrfCAX%2BY%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/06/emi20240406t143657p10005-A/emi20240406t143657p10005-A_l3a-vis-ch4-mfa-v002_rgb.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=zVDKcqPgiSUOu3oP2KONGvpiWQM%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/06/emi20240406t143657p10005-A/emi20240406t143657p10005-A_l3a-vis-ch4-mfa-v002_rgb.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=n49W%2Bg41FQW4uqnWwi9i%2FmLICyA%3D&Expires=1714941687
emi20240404t174842p12016-A,38.79997252708293,-102.39450910083669,2024-04-04T17:48:42+00,Other,CH4,mfa,"[-102.43291876380263, 38.77345710980623, -102.36228231539748, 38.828506012635806]",emi,2024-04-22 16:24:26.516063+00:00,1577.539810607849,272.1346284102649,5.12890625,0.884765625,192.36327578408302,3.542620764087161,hrrr,ISS,NASA-JPL EMIT,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/04/emi20240404t174842p12016-A/emi20240404t174842p12016-A_l3a-vis-ch4-mfa-v002_plume.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=ofLaXT2XDTcadhJprdZz2%2BJexKI%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/04/emi20240404t174842p12016-A/emi20240404t174842p12016-A_l3a-vis-ch4-mfa-v002_plume.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=XszxRSGS8UemB%2BKI4E0VVdJ5y90%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/04/emi20240404t174842p12016-A/emi20240404t174842p12016-A_l3a-vis-ch4-mfa-v002_plume-concentrations.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=vRi5yn1AVKkpXBojRwtEtVIVJTU%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/04/emi20240404t174842p12016-A/emi20240404t174842p12016-A_l3a-vis-ch4-mfa-v002_rgb.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=cajgXZ%2BSWoF10%2B7DldE5SpllQK4%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/04/emi20240404t174842p12016-A/emi20240404t174842p12016-A_l3a-vis-ch4-mfa-v002_rgb.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=f8b56g9d7G%2FBq9t8W62gKxGpJ3o%3D&Expires=1714941687
emi20240404t160851p11002-A,19.6499925992711,-99.27944248844281,2024-04-04T16:08:51+00,Solid Waste (6A),CH4,mfa,"[-99.31426053457037, 19.61024688866112, -99.23226536774214, 19.686942371787012]",emi,2024-04-22 16:30:10.336329+00:00,874.3863961885968,258.84640765396136,2.064814814814815,0.6112513868184818,79.33363440402731,2.4947338423608447,openmeteo,ISS,NASA-JPL EMIT,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/04/emi20240404t160851p11002-A/emi20240404t160851p11002-A_l3a-vis-ch4-mfa-v002_plume.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=Ntb73MzKZvVeeza%2BMXORLKmx5ss%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/04/emi20240404t160851p11002-A/emi20240404t160851p11002-A_l3a-vis-ch4-mfa-v002_plume.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=CtUUdizI5GwBgPLfcYARfkuf8AE%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/04/emi20240404t160851p11002-A/emi20240404t160851p11002-A_l3a-vis-ch4-mfa-v002_plume-concentrations.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=7vE4tLdeEOpEU8Vv3AT8yaNcz0Y%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/04/emi20240404t160851p11002-A/emi20240404t160851p11002-A_l3a-vis-ch4-mfa-v002_rgb.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=afmmtYZ5lZXK0g3TOGrJQ%2FhoHFU%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/04/emi20240404t160851p11002-A/emi20240404t160851p11002-A_l3a-vis-ch4-mfa-v002_rgb.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=5wUgDJXABelffU4yro36IB8eaKw%3D&Expires=1714941687
emi20240403t165815p11007-A,25.86986809912831,-100.30143067499414,2024-04-03T16:58:15+00,Solid Waste (6A),CH4,mfa,"[-100.34561259758163, 25.826775862259638, -100.2801247993384, 25.88622006837799]",emi,2024-04-22 16:13:59.779722+00:00,5019.945471259145,1984.4930634919192,1.669921875,0.66015625,357.37792771630143,74.62843947722085,hrrr,ISS,NASA-JPL EMIT,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/03/emi20240403t165815p11007-A/emi20240403t165815p11007-A_l3a-vis-ch4-mfa-v002_plume.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=MW756aBkp4xv%2FtpuSr3BIJqryrs%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/03/emi20240403t165815p11007-A/emi20240403t165815p11007-A_l3a-vis-ch4-mfa-v002_plume.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=JTj3YK8%2Bok6KwBoN3zoxAPQ8DfU%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/03/emi20240403t165815p11007-A/emi20240403t165815p11007-A_l3a-vis-ch4-mfa-v002_plume-concentrations.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=FBTLC6sSNSnsH6LMfBFpr9ysazw%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/03/emi20240403t165815p11007-A/emi20240403t165815p11007-A_l3a-vis-ch4-mfa-v002_rgb.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=dxDLiHHS%2BsxrJiUudPF0cNt%2FQcM%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/04/03/emi20240403t165815p11007-A/emi20240403t165815p11007-A_l3a-vis-ch4-mfa-v002_rgb.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=mMJANaY%2Fvw9kWsR8hF2DDetWo%2Bs%3D&Expires=1714941687
emi20240330t183432p12005-A,25.873581994531776,-100.30137408572651,2024-03-30T18:34:32+00,Solid Waste (6A),CH4,mfa,"[-100.33861232588782, 25.845141775365537, -100.27331660473342, 25.90389172498386]",emi,2024-04-22 16:30:10.670393+00:00,958.0900875411882,508.0780767263876,1.3212890625,0.70068359375,122.93862392781051,42.5084218856097,hrrr,ISS,NASA-JPL EMIT,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/03/30/emi20240330t183432p12005-A/emi20240330t183432p12005-A_l3a-vis-ch4-mfa-v002_plume.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=e%2Fy5sbbLL4d8XYM5fzOhSV26%2FDI%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/03/30/emi20240330t183432p12005-A/emi20240330t183432p12005-A_l3a-vis-ch4-mfa-v002_plume.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=pmrlvyvu%2FaVvY%2F5bbSzdGpun%2F7w%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/03/30/emi20240330t183432p12005-A/emi20240330t183432p12005-A_l3a-vis-ch4-mfa-v002_plume-concentrations.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=wc0J7Dpc9%2BDzR%2FQKxCT1EQueQE0%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/03/30/emi20240330t183432p12005-A/emi20240330t183432p12005-A_l3a-vis-ch4-mfa-v002_rgb.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=91OP9aFlqtNhEZT9sV0xQ97X8CQ%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/03/30/emi20240330t183432p12005-A/emi20240330t183432p12005-A_l3a-vis-ch4-mfa-v002_rgb.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=wcRhGKJWEVQ6r7pf84c0Zy4lKfQ%3D&Expires=1714941687
emi20240329t192727p13029-A,40.93628821351234,-87.33846277277694,2024-03-29T19:27:27+00,Solid Waste (6A),CH4,mfa,"[-87.37541991174699, 40.91627339736061, -87.306785063815, 40.968576793557965]",emi,2024-04-22 16:30:10.530233+00:00,580.6850528090221,160.44863803301658,1.9580078125,0.541015625,123.44629822843922,20.638176416108127,hrrr,ISS,NASA-JPL EMIT,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/03/29/emi20240329t192727p13029-A/emi20240329t192727p13029-A_l3a-vis-ch4-mfa-v002_plume.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=AJ9Ci53aj%2FsPuNn6KasrsAmEuNQ%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/03/29/emi20240329t192727p13029-A/emi20240329t192727p13029-A_l3a-vis-ch4-mfa-v002_plume.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=diV5wzzpK0FW26F3sZVTulyiKoA%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/03/29/emi20240329t192727p13029-A/emi20240329t192727p13029-A_l3a-vis-ch4-mfa-v002_plume-concentrations.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=xD735p%2BCsUl2s48uGAf6dChOGVw%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/03/29/emi20240329t192727p13029-A/emi20240329t192727p13029-A_l3a-vis-ch4-mfa-v002_rgb.tif?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=5YHevVeoH74c42CUPGA5MvDemKo%3D&Expires=1714941687,https://carbon-mapper-data.s3.amazonaws.com/l3a-vis-ch4-mfa-v002/2024/03/29/emi20240329t192727p13029-A/emi20240329t192727p13029-A_l3a-vis-ch4-mfa-v002_rgb.png?AWSAccessKeyId=AKIAZ6GFKVV6SHEMM55U&Signature=Jis3NcJ1TXn5BGYo2aDlYUVtLlw%3D&Expires=1714941687
